Depth,Gas Age,[CH4],,
1762.077,9526.761018,683.9909119,,
1764.076,9545.696752,685.8412659,,
1766.079,9564.768243,699.4618481,,
1766.079,9564.768243,698.8855455,,
1768.082,9583.92354,679.8128456,,
1770.084,9603.076464,680.1445125,,
1772.084,9622.374248,682.9729284,,
1774.087,9641.700979,682.4436669,,
1776.089,9660.168613,686.2354646,,
1778.09,9677.915216,677.6361106,,
1780.09,9695.77816,693.0605738,,
1782.092,9716.318848,690.372477,,
1784.088,9736.797975,689.7233931,,
1786.089,9756.993413,687.0564153,,
1788.549,9781.476491,683.9177445,,
1788.549,9781.476491,683.6525831,,
1790.091,9796.773713,689.5575384,,
1792.092,9815.600425,678.6275302,,
1794.094,9834.436546,698.1462604,,
1796.09,9853.517626,682.5948456,,
1798.093,9872.917035,689.7687314,,
1800.094,9892.314807,692.0506491,,
1802.097,9912.092087,690.3625123,,
1804.328,9934.120601,680.7671667,,
1806.098,9951.490679,699.3816397,,
1808.603,9975.981423,698.3205924,,
1810.106,9990.728186,707.8920515,,
1812.106,10011.26877,697.2801932,,
1814.11,10031.85043,702.3527528,,
1818.114,10071.90305,693.9449193,,
1820.114,10091.76891,684.6284095,,
1822.079,10111.48623,694.1686959,,
1824.216,10132.92944,714.5573985,,
1826.119,10152.38026,689.6227189,,
1828.121,10173.10508,681.2794236,,
1830.12,10193.80572,698.7605886,,
1832.123,10214.65557,688.3694252,,
1834.128,10235.52625,683.2722789,,
1836.134,10256.10121,672.22311,,
1838.101,10276.04534,674.5262973,,
1840.138,10296.64611,694.9467695,,
1842.139,10316.16473,705.0449515,,
1844.138,10335.66384,691.6557962,,
1846.14,10355.95176,700.5321148,,
1848.145,10376.84527,703.9676199,,
1850.149,10397.67738,704.3489713,,
1852.153,10417.87479,697.6961415,,
1854.155,10438.05205,710.2407388,,
1856.158,10458.03402,700.2741551,,
1858.162,10477.87605,700.4527252,,
1860.414,10500.2011,708.1032048,,
1862.667,10522.65836,689.087085,,
1864.166,10537.59997,692.7725248,,
1868.174,10577.90356,703.55063,,
1870.179,10598.15462,690.1193486,,
1872.183,10618.832,742.9782022,,
1876.26,10660.39292,689.9150024,,
1878.194,10679.57169,695.6189064,,
1880.196,10699.34259,691.1304117,,
1882.198,10718.35609,691.4201953,,
1884.2,10737.36959,680.7450974,,
1886.206,10756.73399,691.5768228,,
1888.209,10776.2767,704.1662868,,
1890.214,10795.80673,679.5351307,,
1892.215,10815.02899,682.8348542,,
1896.223,10853.86478,672.6812798,,
1898.475,10876.11256,679.6955661,,
1900.227,10893.30856,681.9107538,,
1902.251,10912.3033,679.5423293,,
1904.456,10932.99668,684.2544918,,
1906.252,10950.48785,693.8202897,,
1908.253,10970.28345,701.5029849,,
1910.241,10989.86068,681.3249448,,
1912.247,11008.95859,700.4006463,,
1916.254,11047.21383,682.3589793,,
1918.261,11066.49257,697.9787747,,
1920.265,11085.79168,680.9582515,,
1922.27,11105.42339,677.9365602,,
1924.27,11125.00615,705.8261489,,
1926.272,11143.78559,695.0390747,,
1928.475,11163.93082,691.3574028,,
1930.279,11180.4284,692.6974882,,
1932.301,11198.92561,692.2680384,,
1936.288,11235.53258,700.531238,,
1938.291,11254.06435,701.651313,,
1940.29,11272.36763,689.8693712,,
1942.292,11289.56823,687.0222111,,
1944.295,11306.77743,688.4699894,,
1946.3,11324.38637,679.4461817,,
1948.3,11342.15835,665.6561322,,
