Depth ice/snow [m],Depth ref [m] (For EDC96 depth levels the co...),Gas age,CH4 [ppbv],CH4 std dev [±]
3033.815,,619.056,602.3,10
3034.915,,619.918,609.3,10
3035.385,,620.286,626.7,10
3036.04,,620.799,660.7,14
3036.485,,621.145,618.3,10
3037.125,,621.645,571.7,16
3037.585,,622.011,572.7,10
3038.215,,622.509,478.3,10
3038.685,,622.873,474,10
3039.315,,623.358,386.3,10
3040.415,,624.238,355.7,10
3041.525,,625.304,376.4,10
3042.615,,626.618,360.7,10
3043.695,,628.085,373.3,10
3044.815,,629.664,373,14
3045.925,,631.243,369.4,10
3046.385,,631.909,386.3,10
3047.015,,632.823,428.7,10
3048.115,,634.345,428.7,10
3049.315,,635.911,425.7,10
3050.325,,637.217,414.4,10
3051.415,,638.602,409,10
3052.515,,640.007,396.7,10
3053.615,,641.419,414,10
3054.065,,641.987,398.3,10
3054.725,,642.783,343.5,10
3055.815,,644.129,359.3,10
3056.915,,645.583,401.7,10
3058.015,,647.13,384.3,10
3059.125,,648.679,413.6,10
